id,pred
2013_1103_1107,0.731949787558058
2013_1103_1112,0.5777423512403386
2013_1103_1125,0.45733215986762166
2013_1103_1129,0.6400436700178334
2013_1103_1137,0.5127778803736616
2013_1103_1139,0.5959750414134677
2013_1103_1143,0.5473731738687084
2013_1103_1153,0.6624843946718486
2013_1103_1160,0.6868863454366269
2013_1103_1161,0.6002862289234728
2013_1103_1166,0.46314191845573893
2013_1103_1172,0.5578631240813697
2013_1103_1181,0.5608491394204819
2013_1103_1195,0.5294044864807734
2013_1103_1196,0.4908458066699352
2013_1103_1207,0.5746574028755741
2013_1103_1211,0.44411073614303986
2013_1103_1217,0.557720270130306
2013_1103_1228,0.7574631210307824
2013_1103_1231,0.508979996100256
2013_1103_1233,0.5183060142560939
2013_1103_1235,0.5554908975368915
2013_1103_1241,0.6710890448304658
2013_1103_1242,0.4220288975962777
2013_1103_1243,0.6681423361219725
2013_1103_1247,0.5694367326854813
2013_1103_1251,0.7124415609716498
2013_1103_1254,0.5315700997148021
2013_1103_1257,0.4887779130599516
2013_1103_1266,0.5708907884508747
2013_1103_1272,0.4023894390392868
2013_1103_1274,0.5695283467427481
2013_1103_1276,0.5367885613119504
2013_1103_1277,0.47782137946569603
2013_1103_1278,0.5289484941798426
2013_1103_1279,0.5415891158620598
2013_1103_1281,0.5154092296080213
2013_1103_1285,0.5525197375733618
2013_1103_1292,0.6168297203237655
2013_1103_1299,0.7816886802026847
2013_1103_1301,0.5070780928996851
2013_1103_1307,0.578058573117685
2013_1103_1308,0.5672757061085149
2013_1103_1314,0.5365844036786617
2013_1103_1322,0.6019288303836027
2013_1103_1323,0.5037840730383881
2013_1103_1326,0.5448472892674596
2013_1103_1328,0.6215281251538497
2013_1103_1329,0.5266348413225149
2013_1103_1332,0.536817391567809
2013_1103_1334,0.6320525441123304
2013_1103_1338,0.5635917534247252
2013_1103_1355,0.5006171762831501
2013_1103_1361,0.5891195381365092
2013_1103_1380,0.6939127467312046
2013_1103_1387,0.5995061368437142
2013_1103_1388,0.5140506784395411
2013_1103_1393,0.4779224045106342
2013_1103_1396,0.584905600056849
2013_1103_1417,0.45670780936898037
2013_1103_1424,0.4935400567468949
2013_1103_1433,0.5770202886230048
2013_1103_1434,0.5251151211615334
2013_1103_1437,0.6790282738931608
2013_1103_1443,0.7434950960116163
2013_1103_1455,0.5384609597796376
2013_1103_1458,0.637365464218981
2013_1107_1112,0.3154056783863944
2013_1107_1125,0.1942987629515791
2013_1107_1129,0.42815845223963034
2013_1107_1137,0.26165083874771156
2013_1107_1139,0.4407377332100756
2013_1107_1143,0.3074490195987663
2013_1107_1153,0.5333429017981757
2013_1107_1160,0.4125024360288718
2013_1107_1161,0.41603737455599443
2013_1107_1166,0.24663297814485347
2013_1107_1172,0.3317261549681124
2013_1107_1181,0.2658669442064279
2013_1107_1195,0.26816741432338537
2013_1107_1196,0.22105872443073313
2013_1107_1207,0.2766258103995258
2013_1107_1211,0.18795018373971473
2013_1107_1217,0.2757993130069858
2013_1107_1228,0.5015709314855602
2013_1107_1231,0.2258800193357939
2013_1107_1233,0.24628129621836164
2013_1107_1235,0.27401188298641066
2013_1107_1241,0.4968473583727702
2013_1107_1242,0.19554178972495573
2013_1107_1243,0.38590243486361037
2013_1107_1247,0.2790498794797892
2013_1107_1251,0.46887135919219114
2013_1107_1254,0.251500701941242
2013_1107_1257,0.22926972797262976
2013_1107_1266,0.3010941302934675
2013_1107_1272,0.19797820294612709
2013_1107_1274,0.28851278500500827
2013_1107_1276,0.3302953556849712
2013_1107_1277,0.23834118301330726
2013_1107_1278,0.35542314970431654
2013_1107_1279,0.3495099818103536
2013_1107_1281,0.24503073918387874
2013_1107_1285,0.31871634152018313
2013_1107_1292,0.28172031882666454
2013_1107_1299,0.5683064882069055
2013_1107_1301,0.2364906829662674
2013_1107_1307,0.36731199762294975
2013_1107_1308,0.29847124191487084
2013_1107_1314,0.322123711060362
2013_1107_1322,0.3118790435358308
2013_1107_1323,0.27427486949151436
2013_1107_1326,0.2791339750771386
2013_1107_1328,0.41260941012293345
2013_1107_1329,0.2732167669734228
2013_1107_1332,0.29359626995321353
2013_1107_1334,0.49461385408144404
2013_1107_1338,0.2811057801363398
2013_1107_1355,0.30846357526025336
2013_1107_1361,0.3683482457653981
2013_1107_1380,0.3979736993252032
2013_1107_1387,0.36800903243838323
2013_1107_1388,0.26964282434988196
2013_1107_1393,0.31901404452538634
2013_1107_1396,0.3000621829632695
2013_1107_1417,0.18086621514283927
2013_1107_1424,0.2916197210999578
2013_1107_1433,0.2691133222576374
2013_1107_1434,0.282470003735877
2013_1107_1437,0.47580494244747823
2013_1107_1443,0.5050983827057789
2013_1107_1455,0.32397864049981945
2013_1107_1458,0.4602348014506257
2013_1112_1125,0.37558123935450227
2013_1112_1129,0.6174448555828626
2013_1112_1137,0.46371421905529026
2013_1112_1139,0.6240993778264727
2013_1112_1143,0.5411167258674879
2013_1112_1153,0.6747200942278493
2013_1112_1160,0.636663634386356
2013_1112_1161,0.6100550994431964
2013_1112_1166,0.42094772090781896
2013_1112_1172,0.5471371981790818
2013_1112_1181,0.4821952381229766
2013_1112_1195,0.4460149569612586
2013_1112_1196,0.410963494882472
2013_1112_1207,0.4983649047047916
2013_1112_1211,0.35739327409614335
2013_1112_1217,0.48278340477113696
2013_1112_1228,0.7240482238740349
2013_1112_1231,0.4041600053089022
2013_1112_1233,0.45603951706781903
2013_1112_1235,0.5234258990112889
2013_1112_1241,0.6703755604637486
2013_1112_1242,0.3888767538616063
2013_1112_1243,0.648626222344266
2013_1112_1247,0.5069099739257146
2013_1112_1251,0.7032615874906455
2013_1112_1254,0.462158001831744
2013_1112_1257,0.43214866222019593
2013_1112_1266,0.4963785581565144
2013_1112_1272,0.36402311686613287
2013_1112_1274,0.5102249598997739
2013_1112_1276,0.5239383505100567
2013_1112_1277,0.38593411478461104
2013_1112_1278,0.5805084327457879
2013_1112_1279,0.5325057493869869
2013_1112_1281,0.44926678172619205
2013_1112_1285,0.5152423625177042
2013_1112_1292,0.504502237754931
2013_1112_1299,0.747318333199845
2013_1112_1301,0.42007704059793166
2013_1112_1307,0.5844298745994972
2013_1112_1308,0.4984800901287012
2013_1112_1314,0.5179809372392252
2013_1112_1322,0.5465477257019564
2013_1112_1323,0.4638265266616593
2013_1112_1326,0.4776468204653992
2013_1112_1328,0.6243767722291985
2013_1112_1329,0.4696601661514271
2013_1112_1332,0.4735676912809632
2013_1112_1334,0.6828851879431713
2013_1112_1338,0.48210991708817463
2013_1112_1355,0.49274143519940344
2013_1112_1361,0.5716545446282538
2013_1112_1380,0.6368889276444889
2013_1112_1387,0.5750859321026638
2013_1112_1388,0.47401232920731823
2013_1112_1393,0.5245567266221531
2013_1112_1396,0.5306969628635188
2013_1112_1417,0.3592022553727771
2013_1112_1424,0.5162148160024485
2013_1112_1433,0.5413013407749077
2013_1112_1434,0.5052244048854785
2013_1112_1437,0.6668652955841953
2013_1112_1443,0.7441670044056314
2013_1112_1455,0.5242901024344899
2013_1112_1458,0.6441751500765858
2013_1125_1129,0.7201495065086281
2013_1125_1137,0.6033757083321086
2013_1125_1139,0.7271638471335984
2013_1125_1143,0.6524581915018047
2013_1125_1153,0.7876841635354539
2013_1125_1160,0.7228534822954317
2013_1125_1161,0.7117476325150351
2013_1125_1166,0.4679042156344551
2013_1125_1172,0.602624208160038
2013_1125_1181,0.6168826433098871
2013_1125_1195,0.6418423498650421
2013_1125_1196,0.5435857372851446
2013_1125_1207,0.6225760736401799
2013_1125_1211,0.45976203683703326
2013_1125_1217,0.6003738601579206
2013_1125_1228,0.8177281129869024
2013_1125_1231,0.5626056336306805
2013_1125_1233,0.5308414340260537
2013_1125_1235,0.6336771724811355
2013_1125_1241,0.7666407184299129
2013_1125_1242,0.4842469302963158
2013_1125_1243,0.7306215400929498
2013_1125_1247,0.6065274717850979
2013_1125_1251,0.8064635497054883
2013_1125_1254,0.5909552533976283
2013_1125_1257,0.6115249678390833
2013_1125_1266,0.6080622060454445
